日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/1/1,基隆,AMB_TEMP,-1.438888627,-1.438888627,-1.438888627,-1.45892818,-1.418849075,-1.45892818,-1.438888627,-1.438888627,-1.438888627,-1.438888627,-1.45892818,-1.45892818,-1.478967732,-1.478967732,-1.478967732,-1.478967732,-1.519046836,-1.499007284,-1.45892818,-1.45892818,-1.478967732,-1.418849075,-1.478967732,-1.478967732
2019/1/1,基隆,CH4,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807,-0.276055807
2019/1/1,基隆,CO,-0.684307479,-0.634975745,-0.684307479,-0.684307479,-0.659641612,-0.634975745,-0.585644011,-0.486980544,-0.43764881,-0.388317076,-0.388317076,-0.388317076,-0.338985342,-0.338985342,-0.388317076,-0.43764881,-0.43764881,-0.388317076,-0.43764881,-0.486980544,-0.486980544,-0.536312277,-0.536312277,-0.536312277
2019/1/1,基隆,NMHC,-0.906870906,-0.786501407,-0.786501407,-0.786501407,-0.786501407,-0.906870906,-0.906870906,-0.42539291,-0.666131908,-0.666131908,-0.786501407,-0.666131908,-0.786501407,-0.666131908,-0.786501407,-0.786501407,-0.786501407,-0.666131908,-0.666131908,-0.786501407,-0.786501407,-0.786501407,-0.786501407,-0.786501407
2019/1/1,基隆,NO,-0.473334542,-0.392471621,-0.446380235,-0.419425928,-0.405948774,-0.392471621,-0.405948774,-0.432903081,-0.378994467,-0.405948774,-0.378994467,-0.392471621,-0.405948774,-0.365517314,-0.392471621,-0.419425928,-0.378994467,-0.378994467,-0.405948774,-0.378994467,-0.378994467,-0.392471621,-0.392471621,-0.392471621
2019/1/1,基隆,NO2,-1.080399315,-1.016272288,-1.029097693,-1.029097693,-1.041923099,-1.054748504,-1.029097693,-0.95214526,-0.926494449,-0.888018232,-0.900843638,-0.900843638,-0.900843638,-0.83671661,-0.913669043,-0.900843638,-0.913669043,-0.823891204,-0.811065799,-0.849542015,-0.849542015,-0.811065799,-0.888018232,-0.913669043
2019/1/1,基隆,NOx,-0.89071404,-0.808571491,-0.845909013,-0.830974004,-0.838441508,-0.830974004,-0.8235065,-0.801103986,-0.748831455,-0.74136395,-0.733896446,-0.74136395,-0.748831455,-0.689091419,-0.748831455,-0.756298959,-0.748831455,-0.689091419,-0.696558923,-0.704026428,-0.704026428,-0.689091419,-0.733896446,-0.748831455
2019/1/1,基隆,O3,0.365731755,0.365731755,0.41807165,0.41807165,0.365731755,0.365731755,0.365731755,0.365731755,0.31339186,0.31339186,0.365731755,0.31339186,0.365731755,0.31339186,0.365731755,0.365731755,0.41807165,0.365731755,0.41807165,0.41807165,0.470411545,0.41807165,0.470411545,0.470411545
2019/1/1,基隆,PM10,-1.302204245,-1.171125071,-1.302204245,-1.302204245,-1.040045897,-1.367743832,-1.367743832,-1.105585484,-1.105585484,-1.105585484,-1.040045897,-1.171125071,-1.040045897,-1.171125071,-1.171125071,-1.171125071,-1.236664658,-1.171125071,-0.97450631,-0.97450631,-1.105585484,-1.302204245,-1.171125071,-1.171125071
2019/1/1,基隆,PM2.5,-1.354619295,-1.490307531,-1.490307531,-1.490307531,-1.354619295,-1.354619295,-0.947554589,-0.947554589,-1.083242824,-0.947554589,-1.083242824,-1.354619295,-1.354619295,-0.947554589,-1.083242824,-1.083242824,-1.083242824,-1.083242824,-1.083242824,-1.083242824,-0.947554589,-1.083242824,-1.354619295,-1.083242824
