AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,Pre_pm2.5
-1.438888627,-0.276055807,-0.684307479,-0.906870906,-0.473334542,-1.080399315,-0.89071404,0.365731755,-1.302204245,-1.354619295,1.431578208,0.932799938,-1.642646788,-0.600538044,-0.705490728,-0.675053796,1.396077983,1.887945551,-1.354619295
-1.438888627,-0.276055807,-0.634975745,-0.786501407,-0.392471621,-1.016272288,-0.808571491,0.365731755,-1.171125071,-1.490307531,1.205637666,0.932799938,-0.695287394,-0.600538044,-0.695199453,-0.756942169,1.812779827,2.363473072,-1.490307531
-1.438888627,-0.276055807,-0.684307479,-0.786501407,-0.446380235,-1.029097693,-0.845909013,0.41807165,-1.302204245,-1.490307531,1.205637666,0.932799938,-0.695287394,-0.600538044,-0.695199453,-0.654581703,1.396077983,1.412418031,-1.490307531
-1.45892818,-0.276055807,-0.684307479,-0.786501407,-0.419425928,-1.029097693,-0.830974004,0.41807165,-1.302204245,-1.490307531,1.770489021,0.932799938,-0.695287394,-0.600538044,-0.695199453,-0.715997983,1.534978598,1.887945551,-1.490307531
-1.418849075,-0.276055807,-0.659641612,-0.786501407,-0.405948774,-1.041923099,-0.838441508,0.365731755,-1.040045897,-1.354619295,1.092667395,0.853785382,-0.695287394,-0.600538044,-0.674616904,-0.685289843,1.534978598,1.570927204,-1.354619295
-1.45892818,-0.276055807,-0.634975745,-0.906870906,-0.392471621,-1.054748504,-0.830974004,0.365731755,-1.367743832,-1.354619295,0.979697124,0.932799938,-0.695287394,-0.600538044,-0.664325629,-0.593165423,1.118276754,1.570927204,-1.354619295
-1.438888627,-0.276055807,-0.585644011,-0.906870906,-0.405948774,-1.029097693,-0.8235065,0.365731755,-1.367743832,-0.947554589,1.65751875,0.853785382,-0.695287394,-0.600538044,-0.705490728,-0.654581703,1.118276754,1.887945551,-0.947554589
-1.438888627,-0.276055807,-0.486980544,-0.42539291,-0.432903081,-0.95214526,-0.801103986,0.365731755,-1.105585484,-0.947554589,1.205637666,0.853785382,-0.695287394,-0.600538044,-0.715782002,-0.695525889,1.812779827,2.521982245,-0.947554589
-1.438888627,-0.276055807,-0.43764881,-0.666131908,-0.378994467,-0.926494449,-0.748831455,0.31339186,-1.105585484,-1.083242824,0.866726853,0.853785382,-0.695287394,-0.600538044,-0.664325629,-0.726234029,1.673879213,1.887945551,-1.083242824
-1.438888627,-0.276055807,-0.388317076,-0.666131908,-0.405948774,-0.888018232,-0.74136395,0.31339186,-1.105585484,-0.947554589,0.753756582,0.774770826,-0.695287394,-0.600538044,-0.64374308,-0.613637516,0.840475524,1.729436378,-0.947554589
